src/mcp_server_langgraph/core/storage/conversation_store.py:64: error: Missing type parameters for generic type "Redis"  [type-arg]
src/mcp_server_langgraph/core/storage/conversation_store.py:73: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/core/storage/conversation_store.py:240: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/core/feature_flags.py:14: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/monitoring/cost_api.py:125: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/monitoring/cost_api.py:141: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/monitoring/cost_api.py:206: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/monitoring/cost_api.py:261: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/monitoring/cost_api.py:287: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/monitoring/cost_api.py:325: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/monitoring/cost_api.py:402: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/monitoring/cost_api.py:506: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/builder/api/server.py:201: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/builder/api/server.py:217: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/builder/api/server.py:265: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/builder/api/server.py:333: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/builder/api/server.py:375: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/builder/api/server.py:420: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/builder/api/server.py:454: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/builder/api/server.py:498: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/presets/quickstart.py:249: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/presets/quickstart.py:259: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/presets/quickstart.py:265: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/patterns/swarm.py:216: error: Argument 2 to "add_node" of "StateGraph" has incompatible type "Callable[[SwarmState], dict[str, Any]]"; expected "_Node[Never] | _NodeWithConfig[Never] | _NodeWithWriter[Never] | _NodeWithStore[Never] | _NodeWithWriterStore[Never] | _NodeWithConfigWriter[Never] | _NodeWithConfigStore[Never] | _NodeWithConfigWriterStore[Never] | _NodeWithRuntime[Never, None] | Runnable[Never, Any]"  [arg-type]
src/mcp_server_langgraph/patterns/supervisor.py:200: error: Argument 2 to "add_node" of "StateGraph" has incompatible type "Callable[[SupervisorState], SupervisorState]"; expected "_Node[Never] | _NodeWithConfig[Never] | _NodeWithWriter[Never] | _NodeWithStore[Never] | _NodeWithWriterStore[Never] | _NodeWithConfigWriter[Never] | _NodeWithConfigStore[Never] | _NodeWithConfigWriterStore[Never] | _NodeWithRuntime[Never, None] | Runnable[Never, Any]"  [arg-type]
src/mcp_server_langgraph/patterns/hierarchical.py:206: error: Argument 2 to "add_node" of "StateGraph" has incompatible type "Callable[[HierarchicalState], HierarchicalState]"; expected "_Node[Never] | _NodeWithConfig[Never] | _NodeWithWriter[Never] | _NodeWithStore[Never] | _NodeWithWriterStore[Never] | _NodeWithConfigWriter[Never] | _NodeWithConfigStore[Never] | _NodeWithConfigWriterStore[Never] | _NodeWithRuntime[Never, None] | Runnable[Never, Any]"  [arg-type]
src/mcp_server_langgraph/tools/calculator_tools.py:92: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/tools/calculator_tools.py:120: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/tools/calculator_tools.py:135: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/tools/calculator_tools.py:150: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/tools/calculator_tools.py:165: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/secrets/manager.py:49: error: Returning Any from function declared to return "Tracer | None"  [no-any-return]
src/mcp_server_langgraph/resilience/circuit_breaker.py:42: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/resilience/circuit_breaker.py:277: error: Incompatible types in assignment (expression has type "CBListenerType", variable has type "CBListenerType")  [assignment]
src/mcp_server_langgraph/resilience/circuit_breaker.py:295: error: Incompatible types in assignment (expression has type "CBListenerType", variable has type "CBListenerType")  [assignment]
src/mcp_server_langgraph/resilience/circuit_breaker.py:309: error: Incompatible types in assignment (expression has type "CBListenerType", variable has type "CBListenerType")  [assignment]
src/mcp_server_langgraph/observability/telemetry.py:40: error: Cannot assign to a type  [misc]
src/mcp_server_langgraph/observability/telemetry.py:40: error: Incompatible types in assignment (expression has type "None", variable has type "type[OTLPMetricExporter]")  [assignment]
src/mcp_server_langgraph/observability/telemetry.py:41: error: Cannot assign to a type  [misc]
src/mcp_server_langgraph/observability/telemetry.py:41: error: Incompatible types in assignment (expression has type "None", variable has type "type[OTLPSpanExporter]")  [assignment]
src/mcp_server_langgraph/api/error_handlers.py:36: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/api/error_handlers.py:97: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/utils/response_optimizer.py:69: error: Module "litellm" does not explicitly export attribute "token_counter"  [attr-defined]
src/mcp_server_langgraph/tools/filesystem_tools.py:62: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/tools/filesystem_tools.py:130: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/tools/filesystem_tools.py:201: error: Unused "type: ignore" comment  [unused-ignore]
src/mcp_server_langgraph/resilience/retry.py:224: error: Argument 1 to "AsyncRetrying" has incompatible type "**dict[str, object]"; expected "Callable[[int | float], Awaitable[None] | None]"  [arg-type]
